"","Term","Estimate","Std. Error","z value","Pr(>|z|)","deviance","N","converged","species"
"129","(Intercept)",-1.62142909586203,0.148771909169322,-10.8987584075205,1.16840712815338e-27,0.248645622997658,8770,TRUE,"Sulphur-crested_Cockatoo"
"130","before.afterBefore",-0.842518109049826,0.143377690397932,-5.87621481913604,4.19753551332140e-09,0.248645622997658,8770,TRUE,"Sulphur-crested_Cockatoo"
"131","(Intercept)",-0.729768306287289,0.154012006810303,-4.73838580121967,2.15427376291033e-06,0.128763161764071,8770,TRUE,"Superb_Fairywren"
"132","before.afterBefore",0.0729639928022799,0.114847008238011,0.635314701895132,0.525223186898766,0.128763161764071,8770,TRUE,"Superb_Fairywren"
"133","(Intercept)",-20.5009139163839,13.6625358352242,-1.50052041316732,0.13347964982159,0.187237209856056,8770,TRUE,"Superb_Lyrebird"
"134","before.afterBefore",0.13185302165181,0.148888527561847,0.885582145320357,0.375842736337642,0.187237209856056,8770,TRUE,"Superb_Lyrebird"
"135","(Intercept)",-642.289024821009,251.437804058863,-2.55446481973986,0.0106351176313214,0.532540997803292,8770,TRUE,"Torresian_Crow"
"136","before.afterBefore",-0.310232900019966,0.31178588282447,-0.995019072735316,0.319726988201791,0.532540997803292,8770,TRUE,"Torresian_Crow"
"137","(Intercept)",-3.37147453259815,0.269181934467049,-12.5248915358057,5.45658949798968e-36,0.139649578021215,8770,TRUE,"Tree_Martin"
"138","before.afterBefore",0.0837510270362623,0.27455819714856,0.305039251809138,0.760336257425656,0.139649578021215,8770,TRUE,"Tree_Martin"
"139","(Intercept)",-50.5203777657464,14.5623238003278,-3.4692524667395,0.00052190875792812,0.325688042825911,8770,TRUE,"Variegated_Fairywren"
"140","before.afterBefore",0.0439366348622926,0.248243816390601,0.176989846116288,0.859516365293273,0.325688042825911,8770,TRUE,"Variegated_Fairywren"
"141","(Intercept)",-2.83521753300871,0.221905040552268,-12.7767153281085,2.21216287697716e-37,0.124101082622643,8770,TRUE,"Wedge-tailed_Eagle"
"142","before.afterBefore",-0.0749735441857161,0.22617082870998,-0.331490778953882,0.740273804974397,0.124101082622643,8770,TRUE,"Wedge-tailed_Eagle"
"143","(Intercept)",-0.845658984505693,0.116514373028161,-7.25797996013163,3.92913745447594e-13,0.0633447436390702,8770,TRUE,"Welcome_Swallow"
"144","before.afterBefore",-0.116696814504175,0.120036091634348,-0.972181057507735,0.330960482503425,0.0633447436390702,8770,TRUE,"Welcome_Swallow"
"145","(Intercept)",-5.09363256940283,1.16790243069997,-4.36135111590616,1.29261740408015e-05,0.314746787077586,8770,TRUE,"Whistling_Kite"
